,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6275,37.9986637,23.7161033,1.0,1.0,2.0,3.0,28.0,5.0,5.0,5.0,4.97,4.97,4.71,4.94,1.11
6276,37.9986637,23.7161033,1.0,0.0,2.0,3.0,28.0,4.97,5.0,4.98,4.98,5.0,4.72,4.97,2.29
6277,37.9885726,23.7490607,1.0,1.0,2.0,2.0,90.0,4.8,4.67,4.6,4.87,5.0,4.73,4.53,0.54
6278,38.0029135,23.7251263,2.0,3.0,3.0,2.0,365.0,4.64,4.57,4.64,4.5,4.29,4.0,4.43,0.47
6279,37.9832,23.72178,1.0,1.0,1.0,1.0,1125.0,4.79,4.8,4.89,4.94,4.93,4.24,4.77,4.97
6280,37.9727494,23.7117826,2.0,4.0,3.0,2.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6281,37.96814,23.70298,1.0,1.0,1.0,2.0,365.0,4.96,4.92,4.88,5.0,5.0,4.92,4.92,0.82
6282,37.9620657,23.7288031,1.0,2.0,5.0,1.0,365.0,4.64,4.82,4.27,4.73,4.82,4.55,4.82,0.38
6283,37.9847261,23.723903,1.5,2.0,2.0,4.0,365.0,4.76,4.86,4.79,4.97,4.86,4.14,4.72,0.98
6284,37.9645448,23.7253857,1.0,2.0,3.0,1.3,60.0,4.31,4.57,4.5,4.79,4.6,4.76,4.43,1.41
6285,37.9718,23.71204,1.0,2.0,3.0,2.0,1125.0,4.87,4.93,4.87,4.93,4.87,4.8,4.83,1.01
6286,37.9640493,23.7198493,1.0,0.0,1.0,2.0,365.0,4.87,4.88,4.91,4.83,4.95,4.71,4.78,3.54
6287,37.98677,23.74755,1.0,1.0,2.0,2.0,1125.0,4.9,5.0,4.9,5.0,4.9,5.0,4.6,0.37
6288,37.96545,23.72336,2.0,3.0,8.0,1.9,1125.0,4.95,4.95,4.89,4.96,4.97,4.92,4.9,3.14
6289,37.9793356,23.7263536,2.0,1.0,3.0,2.0,1125.0,4.76,4.84,4.85,4.93,4.89,4.87,4.72,3.26
6290,37.97695855726845,23.72958961163941,1.5,1.0,4.0,2.0,1125.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.77
6291,37.9820693,23.7203064,1.0,1.0,1.0,1.7,365.0,4.85,4.91,4.97,4.93,4.89,4.43,4.89,2.55
6292,38.00238,23.72393,1.0,1.0,2.0,3.0,730.0,4.32,4.64,4.45,4.64,4.86,4.05,4.45,0.76
6293,37.9640178,23.7243044,1.0,1.0,2.0,2.4,365.0,4.69,4.78,4.54,4.88,4.83,4.78,4.64,2.04
6294,37.9638694,23.7215151,0.0,1.0,0.0,1.9,14.0,4.89,4.99,4.93,4.95,4.92,4.9,4.88,2.79
6295,37.9731305,23.7493059,1.0,1.0,2.0,2.0,1125.0,5.0,4.92,5.0,4.97,5.0,4.95,4.96,2.72
6296,38.00869,23.73617,1.0,0.0,2.0,2.0,60.0,4.82,4.79,4.87,4.89,4.92,4.24,4.77,3.43
6297,37.98442,23.74017,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
